job_title,normalized_title,job_description,completed_skills_list,llm_validated_skills_list,llm_removed_skills_list,llm_skill_reasons,recommended_skills_list,recommended_skill_source,llm_keep_rate
Data Scientist,Data Scientist,"Description We are looking for a skilled Data Scientist to join our team in Saint Paul, Minnesota. This contract position offers the opportunity to collaborate with cutting-edge technologies and contribute to the advancement of AI and data initiatives. The ideal candidate will thrive in a business-facing role, engaging with leadership and stakeholders to drive impactful solutions. Responsibilities: - Develop and implement machine learning models using Python and Databricks to address complex bu…",['python'],[],[],{},['python'],original,0.0
Computer Vision Engineer,Computer Vision Engineer,"Atomic Machines is ushering in a new era of micromanufacturing with its Matter Compiler™ technology platform. This platform enables new classes of micromachines to be designed and built by providing manufacturing processes and a materials library that are inaccessible to semiconductor manufacturing methods. It unlocks MEMS manufacturing not only for device classes that could never be produced by semiconductor methods, but also for entirely new categories. Furthermore, this digital platform is f…",['computer vision'],[],[],{},['computer vision'],original,0.0
Consultant for Digital Transformation & AI – Ideal for Career Changer,Consultant,"mycareernow GmbH mycareernow ist ein nach AZAV zertifizierter Bildungsträger mit klarem Fokus auf Projektmanagement und Künstliche Intelligenz. Unsere praxisnahen Weiterbildungen bereiten dich gezielt auf den nächsten Karriereschritt vor – mit echten Projekten, erfahrenen Trainer*innen und starkem Bezug zur Arbeitswelt. Ob Prompt Engineering oder den Umgang mit den neuesten KI-Tools: Wir vermitteln dir genau das Know-how, das du für deinen beruflichen Neustart brauchst. Dabei begleiten wir dich…","['r', 'azure', 'nlp']","['r', 'azure', 'nlp']",[],{},"['r', 'azure', 'nlp']",llm_validated_with_rescue,1.0
Physics Researcher (Python) - Freelance AI Trainer,Research Scientist,"Please submit your CV in English and indicate your level of English proficiency. Mindrift connects specialists with project-based AI opportunities for leading tech companies, focused on testing, evaluating, and improving AI systems. Participation is project-based, not permanent employment. What this opportunity involves While each project involves unique tasks, contributors may: Design rigorous physics problems reflecting professional practice; Evaluate AI solutions for correctness, assumptions…",['python'],[],[],{},['python'],original,0.0
Senior AI Platform Engineer,Platform Engineer,"Senior Software Engineer – AI Platform NegotiateAI (Menlo Ventures–backed) About NegotiateAI NegotiateAI is building an enterprise AI platform to modernize procurement for manufacturing and industrial companies. Procurement today is fragmented, manual, and opaque. We’re changing that by giving teams clean data, real-time visibility, and AI-driven workflows that actually get used. We focus on indirect spend - MRO, services, and long-tail categories - where inefficiency quietly costs enterprises …",[],[],[],{},[],section9_not_llm_validated,
Databricks Platform Engineer,Platform Engineer,"Union Investment ist bekannt für eine herausragende Expertise im Asset Management und damit eine der führenden Investmentfondsgesellschaften. Als Teil der Genossenschaftlichen FinanzGruppe bieten wir Privatpersonen sowie institutionellen Kunden seit 1956 zukunftssichere Anlagelösungen mit dem Ziel, das Vermögen unserer mehr als fünf Millionen Anleger*innen zu vermehren. Unsere Kultur ist geprägt von einem hohen Leistungsanspruch und partnerschaftlichen Miteinander. Bei uns bringen alle Mitarbei…",[],[],[],{},[],section9_not_llm_validated,
"Senior Manager of Research Engineering, AI",Research Scientist,"This posting is for proactive recruitment purposes and may be used to fill current openings or future vacancies within our organization. Senior Manager of Research Engineering, TR Labs Are you excited about the future of AI technology? Are you passionate about delivering value and maximizing the impact of R&D investment? Thomson Reuters Labs is seeking a hands-on engineering manager to guide the delivery of cutting-edge AI solutions from concept to production. At Thomson Reuters Labs, we experi…",['r'],[],[],{},['r'],original,0.0
Machine Learning Engineer III – Computer Vision & Data Systems,Computer Vision Engineer,"At Zone 5 Technologies, we're redefining what's possible in unmanned aircraft systems. Our team of engineers and innovators is developing cutting-edge autonomous solutions that push the boundaries of UAS technology - solving complex challenges that matter. We're building the future of UAS capabilities, and we're looking for exceptional talent to join us. If you're driven by hard problems, energized by rapid innovation, and ready to make an impact on next-generation flight systems, you belong he…",['computer vision'],[],[],{},['computer vision'],original,0.0
Medicine Specialist - Freelance AI Trainer Project,AI Engineer,"Are you a medicine expert eager to shape the future of AI? Large‑scale language models are evolving from clever chatbots into powerful engines of scientific discovery. With high‑quality training data, tomorrow’s AI can democratize world‑class education, keep pace with cutting‑edge research, and streamline clinical work for healthcare professionals everywhere. That training data begins with you—we need your expertise to help power the next generation of AI. We’re looking for medicine specialists…","['python', 'rag', 'fine-tuning', 'nlp']","['python', 'fine-tuning', 'nlp']",['rag'],{},"['python', 'fine-tuning', 'nlp']",llm_validated_with_rescue,0.75
Data Scientist,Data Scientist,"You enjoy finding stories and truths in data. You want to help clients transform. You understand the importance of data in making informed decisions. You have a strong POV on how data is used now. You have a strong POV on how data can do more to help. You have an open mind to learning new techniques and approaches. HOW YOU’LL EXCEL · You’ll work with our data team and our partners to turn data into powerful, actionable insight & recommendations. · You’ll be keen to develop client relationships …","['aws', 'azure', 'python', 'computer vision']","['aws', 'python', 'computer vision']",['azure'],{},"['aws', 'python', 'computer vision']",llm_validated_with_rescue,0.75
